siff_sId,showName,country,holder,actor,showTime,cname,hname_cn
HY2226    ,八月：奥色治郡,美国,约翰·威尔斯,朱莉娅·罗伯茨 ， 梅丽尔·斯特里普，伊万·麦克格雷格,2014-06-22 20:45:00.000,环艺影城,二厅
HY2156    ,银行女劫匪,德国,克里斯蒂安·阿瓦特,肯·杜肯，娜达莎·布锐妮克,2014-06-15 20:45:00.000,环艺影城,二厅
HY2225    ,杜布罗夫斯基,俄罗斯,亚历山大·万大诺夫 ，基里尔·米罕诺夫斯基,丹尼拉·科兹洛夫斯基 ，伊戈尔·戈丁,2014-06-22 18:30:00.000,环艺影城,二厅
HY2224    ,去年在马里昂巴德,法国,阿伦·雷乃,德菲因·塞里格， 吉奥吉欧·艾伯塔基,2014-06-22 15:45:00.000,环艺影城,二厅
HY2196    ,悲喜人生,丹麦,尼尔斯·马尔姆洛斯,雅各布·德格恩，海勒·格瑞德,2014-06-19 20:45:00.000,环艺影城,二厅
HY2185    ,玩命毒师,意大利,西德尼·西比利亚,艾多尔多·里奥，瓦莱丽亚·索拉里诺，瓦莱里奥·阿普雷亚,2014-06-18 18:30:00.000,环艺影城,二厅
HY2216    ,凄厉人妻,泰国,班庄·比辛达拿刚,马里奥·毛瑞尔，达维卡·豪恩,2014-06-21 20:45:00.000,环艺影城,二厅
HY2213    ,蚁族与明星,孟加拉国,穆斯塔法·萨瓦尔·法罗奇,,2014-06-21 13:30:00.000,环艺影城,二厅
HY2146    ,断子绝孙大逃亡,乌克兰,阿列克谢·扎列夫斯基,李松·亚历山大，伊娜·佐波娃，马克·伯登,2014-06-14 20:45:00.000,环艺影城,二厅
HY2223    ,广岛之恋,法国,阿伦·雷乃,埃玛妞·丽娃，冈田英次,2014-06-22 13:30:00.000,环艺影城,二厅
HY2176    ,祖鲁,法国,杰罗姆·塞勒,奥兰多·布鲁姆，福里斯特·惠特克，坦尼亚·范·格兰,2014-06-17 20:45:00.000,环艺影城,二厅
HY2153    ,就是你，查理,加拿大,艾玛纽尔.诗瑞尼安,迈克尔·科恩，艾玛·弗勒里,2014-06-15 13:30:00.000,环艺影城,二厅
HY2145    ,洛杉矶,德国,戴米恩·约翰·哈珀,马特奥·巴蒂斯塔·马蒂亚斯，马科斯·罗德里格兹·鲁伊兹,2014-06-14 18:30:00.000,环艺影城,二厅
HY2144    ,在劫难逃,阿根廷,胡安·施密特,恩里克·帕帕提诺，爱德华多·库图里,2014-06-14 15:45:00.000,环艺影城,二厅
HY2195    ,蓝色茉莉,美国,伍迪·艾伦,凯特·布兰切特，亚历克·鲍德温,2014-06-19 18:30:00.000,环艺影城,二厅
HY2155    ,飞机总动员,美国,克雷.豪尔,戴恩·库克，卡洛斯·阿拉斯拉奇，斯泰西·基齐,2014-06-15 18:30:00.000,环艺影城,二厅
HY2186    ,巴西之西,巴西,雷内·桑帕约,法布里西奥·波利维拉，伊希斯·瓦尔维德,2014-06-18 20:45:00.000,环艺影城,二厅
HY2175    ,悬案密码：笼中女人,丹麦,迈克尔·诺加德,尼古拉·雷·卡斯，法瑞斯·法瑞斯,2014-06-17 18:30:00.000,环艺影城,二厅
HY2166    ,秘密炸弹,意大利,罗伯托·罗西里尼,吉纳罗·皮萨诺，玛丽莲·布福德,2014-06-16 20:45:00.000,环艺影城,二厅
HY2165    ,爱,意大利,罗伯托·罗西里尼,安娜·玛妮雅妮,2014-06-16 18:30:00.000,环艺影城,二厅
HY2154    ,大梦想家,美国,约翰·李·汉考克,艾玛·汤普森，汤姆·汉克斯,2014-06-15 15:45:00.000,环艺影城,二厅
HY2143    ,白日梦想家,美国,本·斯蒂勒,本·蒂勒，克里斯汀·格，亚当·科特,2014-06-14 13:30:00.000,环艺影城,二厅
HY2215    ,布达佩斯大饭店,美国,韦斯·安德森, 拉尔夫·费因斯 ， 托尼·雷沃洛利 ， 艾德里安·布洛迪,2014-06-21 18:30:00.000,环艺影城,二厅
HY2214    ,清须会议,日本,三谷幸喜,役所广司，大泉洋，小日向文世,2014-06-21 15:45:00.000,环艺影城,二厅
HY2206    ,心之归属,法国,阿伦·雷乃,萨宾·阿泽玛，伊莎贝尔·卡雷,2014-06-20 20:45:00.000,环艺影城,二厅
HY2205    ,莫里埃尔,法国,阿伦·雷乃,德菲因·塞里格，让·皮埃尔·科林,2014-06-20 18:30:00.000,环艺影城,二厅
HP4226    ,墙后低语,德国,格热戈日·穆斯卡拉,文森特·戴茨基，卡特琳娜·海耶,2014-06-22 20:45:00.000,和平影都,四厅
